X1,X2,X3,X4,X5,Y
2.75 ,19.00 ,3 ,0.31 ,620 ,大
0.95 ,6.00 ,5 ,0.24 ,445 ,小
3.95 ,14.00 ,3 ,0.24 ,552 ,小
1.20 ,18.00 ,3 ,0.16 ,462 ,小
1.17 ,5.00 ,1 ,0.61 ,395 ,无
1.25 ,8.00 ,3 ,0.36 ,745 ,中
2.80 ,8.00 ,3 ,0.59 ,425 ,小
2.00 ,7.00 ,1 ,0.48 ,460 ,无
3.95 ,14.00 ,3 ,0.22 ,543 ,大
2.90 ,4.00 ,5 ,0.51 ,442 ,大
1.40 ,6.00 ,3 ,0.42 ,426 ,大
1.40 ,4.00 ,3 ,0.58 ,428 ,无
2.16 ,14.00 ,4 ,0.34 ,510 ,小
0.95 ,6.00 ,3 ,0.24 ,455 ,中
1.05 ,4.80 ,2 ,0.60 ,477 ,无
2.39 ,11.00 ,3 ,0.28 ,515 ,小
1.40,3.00,3,0.51,400,无
2.16,14.00,4,0.58,485,小
2.40,8.00,1,0.42,519,小
0.75,7.40,4,0.37,740,中
3.95,6.00,5,0.54,543,大
1.65,4.00,2,0.53,438,无
